Handle,LevDistance,IntersectionalityScore,DDNADistance,APUScore,SADScore,GrantOwner,IPsShared
flambo19,3,1,0,0.1,0,0,0.84
jerrycrypto,1,3,0.74,0.11,0,0,0.93
bankhugo,3,2,0,0.11,1,0,0
vansireth,3,3,0.42,0.15,0,0,0.62
cryptocracy08,3,2,0,0,0,0,0
sabbirdotcom,5,0,0.25,0.08,0,0,0
evansacred,4,2,0.1,0,0,0,0.63
chan3665,3,3,0.17,0,1,0,1
markair77,2,2,0,0,0,0,0
eno-obong,2,3,0.2,0,0,0,0.33
dgaleixo,3,0,0.5,0.08,1,0,0
tauluon4,2,1,0,0.05,1,0,0
alysiahuggins,4,2,0,0.13,0,0,0.33
flauto9,3,4,0.04,0.23,0,0,0.93
softmoulding,4,4,0.42,0.13,1,0,0
kr101133,3,4,0.22,0.1,0,0,0
manuelljhay,3,0,0.15,0.28,0,0,0.86
advezdio,3,3,0.29,0,0,0,0
haropasewa,4,2,0.08,0.1,1,0,1
nikolaiche1959,6,1,0.07,0.1,0,0,0
kuiyouclub,5,2,0.33,0,1,0,1
4ioriis,2,3,0.27,0,1,0,1
mefta8565,4,2,0.27,0.03,1,0,0
youxun666,3,3,0.11,0,0,0,0.83
kevanhelii,4,3,0,0.26,1,0,0
janeivy,3,4,0.25,0.15,0,0,0.71
ufkhan97,2,4,0.66,0.36,0,1,0.05
alikut80,2,0,0.12,0.15,0,0,0.2
levizheng,2,2,0.08,0,0,0,0.88
vovavolvo,3,2,0.2,0.15,1,0,0
epistetechnician,5,4,0,0.05,0,1,0.15
ekkawach,2,0,0.53,0.08,1,0,0
geralddknight808,6,1,0.08,0.1,1,0,0.5
dcoinevangelist,3,0,0.11,0.1,0,0,0.39
mazepas,2,2,0.04,0.15,0.02,0,0
zhouchunjia0304,6,0,0,0,0.02,0,0.33
shafiq9646,4,2,0.42,0.23,0,0,0
pan3604358033,7,0,0,0,0.02,0,0
ue8442,3,4,0.25,0.1,1,0,0
pishou7795787,6,0,0,0,0.02,0,0
chao89128434,5,0,0,0,0.02,0,0
peteryan3000,4,3,0.5,0.26,0,0,0.2
huanqiangye8788,5,0,0,0,0.02,0,0
zheksonkozhara,7,1,0.33,0,0,0,0
futurestar7777777,8,0,0.29,0.11,0,0,0.6
sdfrthg,2,3,0.19,0,1,0,1
e-cloud1,3,0,0.5,0.07,1,0,0
yahus786,3,1,0.28,0.11,1,0,1
tandat2002,2,3,0.39,0.11,1,0,0
ediosmani968,5,4,0.33,0,1,0,1
binhy726368,5,0,0,0,1,0,0
achanz,1,0,0.29,0,0,0,0.18
jagtapper,2,4,0.45,0.26,0,1,0.25
cryptorata,1,0,0,0.16,1,0,0
ianhner,2,1,0,0,1,0,0
protimroy,3,0,0.64,0,1,0,0.5
defisalami,3,0,0.77,0,1,0,0
tntbuchatska,5,3,0,0.16,1,0,0
j9leger,3,2,0.6,0.13,1,0,0.03
uwumomouwu,5,3,0.57,0.13,1,0,0.5
egbertmoody,4,0,0,0,1,0,0.5
niekvandervoort,3,2,0.6,0.1,0,0,0
denylilov,4,1,0,0,1,0,0.5
rgr65gh,3,3,0.19,0,1,0,1
web3dao-software,6,0,0,0,1,0,0
sinmoonn,2,0,0.5,0.13,0,0,0.11
raincity7,3,1,0,0,1,0,0
shuaigua,2,4,0.59,0,0,0,0.53
nesbee,1,3,0.38,0.1,0,0,0.87
starx23,2,2,0.2,0.1,1,0,0.5
mrfaxx,2,3,0.55,0.21,1,0,0
thetanvirmunna,6,0,0.39,0.13,1,0,0
oluwanikanlotomisin,9,0,0.33,0,1,0,0
aleksandrovpr,3,2,0.29,0.21,1,0,0
okpako212,3,3,0.33,0.11,0,0,0.81
piggydorth,4,0,0.33,0.03,1,0,1
oodoviichuk,4,3,0,0.2,0,0,0
kadil09,1,0,0,0,1,0,0
alice-cometh,4,3,0.22,0.13,1,0,0
anzhelippa,4,0,0,0.11,1,0,0
anilbhuta05,3,3,0.06,0.21,0,0,0
jablay69,3,3,0.08,0.1,1,0,1
joelier,1,1,0,0,1,0,0
kimbagitcoin,2,2,0.73,0,1,0,0
akinata1986,4,0,0,0,1,0,0
flimsylee,4,2,0.15,0.1,0,0,0.41
bestape,1,3,0.83,0.34,0,1,0.05
elvinma20,3,0,0.21,0.1,1,0,1
lanitrock,3,3,0.75,0,1,0,0
ibraheemleone,5,4,0.47,0.28,1,1,0.06
