Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
flambo19,3,0,1,0,1,0.1,0,0,0.84,38,32,0.30175913896624945,0.3592756896820713
jerrycrypto,1,1,3,0.74,27,0.11,0,0,0.93,44,41,0.4608744504423258,0.5052841144190526
bankhugo,3,0,2,0,1,0.11,1,0,0,4,0,0.4730326343471005,0.5164407860374568
vansireth,3,0,3,0.42,6,0.15,0,0,0.62,13,8,0.5735857494774698,0.6087109881090468
cryptocracy08,3,0,2,0,3,0,0,0,0,6,0,0.49252379799562757,0.5343263941176072
sabbirdotcom,5,0,0,0.25,17,0.08,0,0,0,1,0,0.7752574766640117,0.7937703072112221
evansacred,4,0,2,0.1,5,0,0,0,0.63,19,12,0.4214726205238423,0.46912795154080433
chan3665,3,0,3,0.17,8,0,1,0,1,2,2,0.4321246606556438,0.47890254573574004
markair77,2,0,2,0,1,0,0,0,0,8,0,0.4085733769221813,0.4572912639140433
eno-obong,2,0,3,0.2,5,0,0,0,0.33,43,14,0.39832051109094707,0.44788296263133975
dgaleixo,3,0,0,0.5,1,0.08,1,0,0,1,0,0.5519841365176108,0.5888887758355209
tauluon4,2,0,1,0,1,0.05,1,0,0,1,0,0.4256916711173369,0.4729994641270358
alysiahuggins,4,0,2,0,1,0.13,0,0,0.33,6,2,0.46448734746829246,0.5085994044348575
flauto9,3,0,4,0.04,17,0.23,0,0,0.93,29,27,0.5763005043271603,0.6112021190723292
softmoulding,4,0,4,0.42,4,0.13,1,0,0,1,0,0.7729326559690418,0.7916369901575738
kr101133,3,0,4,0.22,6,0.1,0,0,0,1,0,0.7861386724128053,0.8037551806705874
manuelljhay,3,0,0,0.15,8,0.28,0,0,0.86,134,115,0.44135926241459794,0.48737646093214765
advezdio,3,0,3,0.29,4,0,0,0,0,7,0,0.6144216500313241,0.6461830921904994
haropasewa,4,0,2,0.08,9,0.1,1,0,1,2,2,0.4917550178612019,0.5336209411014563
