Handle,Score
yukipl,0.0981508327520055
tommy89eth,0.1470215623178858
oniongum,0.4254843517138598
cimplylimited,0.0655146737267602
inlih,0.097603113010115
cl0901,0.1281468798209775
gdzj1005,0
hopper1993,0.0815830668318495
lefterisjp,0.0975186388210673
ivanmolto,0.1281468798209775
parseb,0.0483828636033271
skylarweaver,0.0819448045815846
owocki,0.3440999837688686
bobjiang,0.1310712529879465
csggene3,0.1281468798209775
marvinkruse,0.1310712529879465
alexanderattar,0.0287037853456052
jamesmorgan,0.0975186388210673
parrachia,0.0975186388210673
gasolin,0.0972788411231252
carlosgj94,0.0975186388210673
0h,0.0810196522835895
triplespeeder,0.0980418337983955
dekanbro,0.0804690426114264
ricmoo,0.0982952563655389
tobyjaguar,0.0287037853456052
0xjjpa,0.0816310851172126
manboy-eth,0.0983524808161841
rhyslindmark,0.0975104638995465
bitsikka,0.1134605119524498
touhonoob,0.0972788411231252
woeom,0.113277774839023
john-light,0.1966966966966967
vojtechsimetka,0.113277774839023
kantelabs,0.0483828636033271
krisjpi,0.0650379598220793
edgarbarrantes,0.0819640118957299
emudoteth,0.0818327619157375
shayanb,0.0654082995496826
krrisis,0.0817207192498903
inventionsbyhamid,0.0435021804086247
moromro,0.0322442806079885
pet3r-pan,0.0816310851172126
tweetious,0.1281468798209775
romannn76,0.0983524808161841
zannis,0.0653649619219843
pol-lanski,0.0980418337983955
miguelmota,0.048655414681418
guillaumepalayer,0.0804690426114264
serafettin,0.0271912749174223
chazschmidt,0.0980418337983955
gkimbwala,0.0791117257451637
acolytec3,0.1966966966966967
s3unha,0.0972788411231252
jamespfarrell,0.0478276669627715
dtilen,0.0642972803668727
751895405,0.0315456771366753
l0gykal,0.0483828636033271
brossetti1,0.3604508196721311
floar,0.0652901060195964
renaud-v,0.0287037853456052
jmcpheron,0.0972788411231252
arnon0208,0.0972788411231252
gr4zz,0.1966966966966967
mrfranklin,0.1134605119524498
connoroday,0.5204918032786884
davidryan59,0.0972788411231252
moneyafric,0.0818583716679311
razga,0.0982707316009766
oritwoen,0.0976984870945238
tboeckmann,0.0435021804086247
natenatesoo,0.0652901060195964
edimab,0.0809108108367666
suhailgme,0.0650379598220793
maksim-tolo,0.0973415155214509
l-kh,0.2949882903981264
vrortvedt,0.0817207192498903
georgemac510,0.0298093422953532
ntotao,0.0980418337983955
octaviaan,0.0298093422953532
bennisan86,0.0816310851172126
gigamesh,0.0628474397311491
konohime,0.0650379598220793
chrishasl,0.131130588095682
zicusa,0.113277774839023
joshcarnice,0.113277774839023
xuanmir,0.114706009646596
garinswari,0.0972788411231252
lanlan3322,0.1966966966966967
cranders1,0.1311390645396443
friedhelmensch,0.1639185411106875
jasoons,0.0271912749174223
ubipromoter,0.0817431277830597
peth-yursick,0.113277774839023
adamstallard,0.1281468798209775
ijonas,0.0816310851172126
slavko993,0.0271912749174223
maxgillett,0.113277774839023
msakarya,0.0804690426114264
timet7,0.0975186388210673
ankitb46,0.0819640118957299
nimbusnerd,0.1475283147946385
msagansk,0.0654082995496826
jamescarnley,0.1310882058758709
paulapivat,0.1630607446943702
dennisahlqvist,0.0487866429782766
tzhan28,0.113277774839023
bild96,0.0980418337983955
dreadknight,0.1131238909540319
akanimorex,0.1131238909540319
calumtomeny,0.0976984870945238
sirlupinwatson,0.1308169596690796
jb0gie,0.0975186388210673
wkarshat,0.0972788411231252
wuehler,0.0487866429782766
hamzashadow,0.0483828636033271
n3r01n,0.0816310851172126
shalzz,0.0655658909231308
milesthedisch,0.113277774839023
arsml,0.0491500444157312
rolfaris,0.0654082995496826
aiinkiestism,0.0972788411231252
masukh18,0.2130863917408815
developerfred,0.0818327619157375
svitekpavel,0.0975186388210673
tedko,0.048655414681418
lionn91,0.0811092864162673
kitavimo,0.0650379598220793
truongx,0.0972788411231252
caigen18,0
cryptoze2018,0.1135566893805692
ufaz,0.1135566893805692
rjramesh,0.0982707316009766
musnit,0.0483828636033271
arthcp,0.0652901060195964
thurendous,0.0271912749174223
ug02fast,0.0975104638995465
mrzarus2890,0.0654989145894153
vjiqbal,0.0809108108367666
izrake,0.0271912749174223
smedury,0.1803078768492602
dreth,0.3767564402810304
adamar683,0.0804690426114264
eko733,0.0975186388210673
erengonen,0.0298093422953532
cylvestre,0
luukdao,0.0321425422383797
gravenp,0.1310966823198331
erknfe,0.0819576094576814
codenamejason,0.1803078768492602
rao916,0.1281468798209775
abhiag,0.1281468798209775
elderorb,0.1135566893805692
ceteco,0.1310712529879465
siftal,0.1475029771708009
mochinft,0.0804690426114264
bashamubarak756,0.0973415155214509
onika84,0.3604508196721311
alexiskefalas,0.0817207192498903
gempoer1923,0.0613542614677272
massun-onibakuchi,0
illlefr4u,0.0809108108367666
jpaulet,0.0817207192498903
maroofahmad81,0.1131238909540319
cryptonewo,0.0980173090338332
abubakrdammy,0.113277774839023
otemzi,0.0975186388210673
mazzarothleo,0.1281468798209775
phunkey,0.0819063899532942
edde0,0.0973415155214509
justice442,0.0980173090338332
leoneric,0.0464043446660744
roman193,0.0791117257451637
gekonn,0.1147492894892497
konstantinru,0.0973415155214509
loveisasimple,0.048655414681418
paragismb,0.0287037853456052
benlakoff,0.278619932780026
nicoesp,0.0804690426114264
raburski,0.0973415155214509
ethergration,0.0315456771366753
davidullo,0.0972788411231252
curadai,0.0487866429782766
todd-x-y,0.114706009646596
taenacious,0.0298093422953532
cloutier,0.4093072448439978
mitchuski,0.0819608106767056
nightmareinc,0.0271912749174223
hassansaddi7,0.0973415155214509
bilalabid,0.0972788411231252
ariefgkb,0.0972788411231252
2008eth,0.0652901060195964
bobanm,0.0791117257451637
gribberr,0.0653649619219843
heyneel,0.1281468798209775
detoo,0.3113748365684401
ayatomf,0.0654082995496826
omoiya,0.081919194829391
rhazkid55,0.0980173090338332
hamzat7455,0.1131238909540319
xcoded1,0.0976984870945238
emmyxpress2020,0.1131238909540319
cubicus55,0.0811092864162673
wundel,0.0646006437607605
flimsylee,0.0979764344262294
cheryldavis,0.0809108108367666
oyeyemmy123,0.098047283746076
yongthanyee,0.0973415155214509
dcbuild3r,0.113277774839023
nikoline,0.0435021804086247
cgromaches,0.0478276669627715
amirhabibzadeh,0.3439376724557701
zjiekai,0.0487866429782766
giraeffleaeffle,0.1310882058758709
harrisonmclean,0.1308169596690796
burningtree,0.1281468798209775
nake13,0.0654082995496826
inspireme6,0.1147492894892497
codynhat,0.0654831554520705
parkan,0.0650379598220793
deepcryptodive,0.0976984870945238
mjay11,0.0980173090338332
alie121,0.0972788411231252
bitcoinpizzaguy,0.113277774839023
mjr01,0.1802878848460615
fernandatarigan,0.0646006437607605
rajonmia3031,0
wrickman-stylez,0.098047283746076
khen8ichi,0.0983252310777816
nickbax,0.0978837853156609
nazriz,0.0975186388210673
anudit,0.0650379598220793
qwkvio,0.0613542614677272
acryptoverse,0.1630607446943702
cstoraker,0.113277774839023
bardionson,0.113277774839023
caosbad,0.0980418337983955
jokazza84,0.2294723248556157
gilsoncarlos,0.2130863917408815
paulkieran,0.0811092864162673
libert19,0.0655028543737515
isidorosp,0.0980418337983955
itsantonis,0.0628474397311491
hbesso31,0.1281468798209775
sbibek086,0.0791117257451637
xiaotiandada,0.0435021804086247
kazik435,0.0811092864162673
coingyaan,0.0970499433205441
labrav,0.1311390645396443
begood2me,0.0654122393340188
daeinar,0.0613542614677272
nyssanida,0.1281468798209775
maksood4,0.3113748365684401
alamin017,0.1281468798209775
hirensoni7880,0.4918032786885245
sourov37,0.2622398851907048
prg5681,0.0970499433205441
akhileshdubba,0.0816310851172126
athar400,0.1135566893805692
manjeet32,0
bvishal50,0.1281468798209775
sujit1992,0.081935200924512
nilmoni1567,0.1135566893805692
djny45,0.1135422627663513
salman01135,0.0791117257451637
aman147147,0.3277344799785004
sweetu01,0.1147252451322199
vanshikau,0.0628474397311491
sumitbdn,0.0791117257451637
jeet23mandal,0.081355780281131
ramesh7447,0.1311136352077576
rocktanmay2012,0.1281468798209775
desaisatyam,0.0978837853156609
cryptoman1920,0.2458497613612782
thethlaingsoe,0
sujonbsc,0.0652940458039326
abhishekmanhar6,0.0970499433205441
tuhinmondal033,0.1147252451322199
poonamr1263,0.0970499433205441
vineetmshah,0.1135566893805692
sscabile,0.0975104638995465
kotharikirti86,0.4396423248882265
haider12345123,0.1638708857542254
shefali1511,0.3604508196721311
krishanbtc,0.3113748365684401
goldi0123,0.081355780281131
tigersame,0.1803078768492602
suds88,0.0983225061039414
jeancsilva21,0.0322442806079885
jayansh07,0
syrusmir,0.0488825405798271
hiboat2,0.1131238909540319
kaybaba1,0.0435021804086247
keremsoylu,0.0487866429782766
dharminder12358675,0.3277344799785004
festdfirst,0.1131238909540319
dwarfina18,0.0972788411231252
dgam777,0.1131238909540319
yasinrobin,0.0327326247821103
babu3090,0.0487008398610998
kuntal1987,0.0975104638995465
aamirshah1412,0.1131238909540319
amad786,0.0322442806079885
mram888,0.1146867741609721
arman90x,0.0973415155214509
acohick,0.0983579307638646
subilink,0.1135566893805692
sau112,0.1803078768492602
dk4gaming,0
jackmmo,0.0628474397311491
harkhinz,0.098047283746076
buidlr,0.0646006437607605
mnbrault,0.0483828636033271
shobhan1971,0.3440999837688686
travpreneur,0.0817207192498903
reanox,0.0486907453767261
flostik,0.3440999837688686
plmiranda,0.0650379598220793
motiurrahman043,0.1131238909540319
buddhadev1993,0.1131238909540319
smartonliner,0.0819608106767056
bhupalsinghr1263,0.0970499433205441
devvdn1263,0.0975104638995465
burkay5,0.0435021804086247
neqro,0.1470215623178858
marcinspro,0.1135566893805692
ahasan22,0.1131238909540319
vinskasenda,0.0791117257451637
kunalaxe,0.0791117257451637
ratan797,0.0490390050876201
cmkcmk77,0.0972788411231252
priyanka7s,0.0791117257451637
dauntlesslimitless,0.0983143311824206
mehedi421,0.0982707316009766
elisonjun,0.0972788411231252
melvinalvarez,0.0650379598220793
stevepatail,0.0976984870945238
divana0022,0.1966966966966967
razzack5919,0
puchhu,0.0978837853156609
akon9,0.0970499433205441
jakabkol,0.0978837853156609
sabyasachi0485,0.1639185411106875
schmett,0.0483828636033271
korvisen,0.0650379598220793
dushaobindoudou,0.0489935799079383
lyledavids,0.0491248082047969
patrickalphac,0.048655414681418
toppo1986,0.2130863917408815
mdullahtanvir,0.1474903083588821
kumosoukai,0.2294723248556157
taurenshaman,0.1135566893805692
