Handle,Score
harsifat,0
khanhuy775,0
willneil2022,1
armenaro,1
benomauro,1
lxtig,1
arshaloos,1
shomurad,1
uxxgnv7,1
zirgan,0
zywiecrypto,0
swauzzy,1
iangely,0
qqqqqaw43,1
shadrach007,1
xiaomugua2000,1
resparkle,1
hememix,1
nshirmo443,1
rttt666,1
edouardmass,1
xenoxis23,1
bahubaligray1,0
greatmarcin,1
jiu2253462930,1
cf12163695,0
franklauki,1
nancizold,1
parkerchanedc,1
jnjotpljfkg,1
bhfdgbdsvf,1
la-frank,1
claramonday410,0
cemgundogan,0
sishenkubin,1
big1818,1
zeuscj,0
banch28,1
sunk666,0
lastwolf19,0
sekigann,0
dellfan,1
omaerxsupreme,0
yhwoo,0
herezoe,0
kaka510,0
574708831,1
deccstcs,1
liangxianju,0
bdbdhkul,1
gaier88888,0
yuppi-maple123,1
younuo2022,0
abnerella,1
mcve,0
walkerofcode,0
everydayfriday,1
heloteth,1
ollin2223,1
cycitizen,1
aplebin,1
rvdeeb,0
megafonbezlimit712,1
cloudydasy3,1
elisetonight,0
pz05061990,1
bigbreake,1
gray98334,1
prich23,1
d15d,1
kostinrtd,1
jinnailwen,1
gospelbassey,0.18
onesaravisa6357,1
guotutututu,1
gerardb1,1
0x621e,1
iamkelly271,0
alen990,0
weiletzigo,1
sdrhnfgxbf,1
flynncx1,1
khanhuet,0
anubhavdxty,1
erasdsdjo,0
loadaimfirerun,1
xiantao95116,0.02
renolletlillie,1
martin882623,1
chrismop,0
huangsuzhen2022,1
tianxingj2021,1
guesswho91,0
hrkw-lab,0
carlcookqdgsd,1
ceciliamart,1
irhab16,0
richgirls,1
altremba,1
metkrgz,1
randisitorus,0
cryptozr35,1
wildmolasses,0
birkebig,1
alexk335,1
aaxghjkklg,1
naun1,1
viktoriavr7,1
sabinastarsz,0
reubensternberg,1
ajalaoluwasogo,1
gorlova2002,1
sakuara2016,0
cifean,0
a100-15,1
dragoncrown,0
mehranx8,0
mkingwang2020,0
penywang,0
lisyji,1
learner48,1
lossyan,1
tiffarlowes,1
fnikbakht,1
temmy03,0.18
harryli01,1
potatro,1
maanimo,0
ravenac95,0
dankahn3,1
villarresa,1
nazarkychma,0
sertyo,1
massif04,1
jeebwang,0
pashawebb,1
dustman01,1
0xbitk,1
cryptonaga,0
jeyranom,1
arvm12gt,1
aggie20020,1
milan19910,1
lowcrypto,1
arnttumllanetayf,1
pp272727,1
armanmohammady54,1
hellocaven,1
ge-rongxing,0
mehmet4745,1
wydo88,0
rezar13r,0
hbsrnhnrnrt,1
obieri,0
susanneglenn2222,1
lml2022,1
lery1901,1
ho4848,0
xzasd2324,1
pituan5815401,0.04
prostoxleban,0
basileusxx,1
syedasadkazmi,0
peth-yursick,0
kyne008,1
tdee101,0
djkghwsgwsl,1
hcghekwe,1
zishengling50,1
moutai1953,1
miki343434,1
l4mela,1
akinseker52,0
taffy2293,1
iuliiashu,1
trumanjosh,1
araojpneth,1
kayewtonds,1
fdghseruh,1
karledorothy238,1
ngerald51,0
tdadev,1
270361048midas,0
farrell01,1
donkey4pie,0
ojas202,0
lushorina,1
pythontogolan,1
dieuly05,1
howhychen,0
leny7chka,0
sirakuter12,1
wendyboir,1
masoudmsd,1
chipsurfer1,1
criko73,1
evanvannesseth,0
xm9988,0
badfsx,1
shenyao319,1
kemsaf1,1
sunnywindowtree,1
tt24783,1
xuetianziwei,0
adashubal,1
htehery,0
tolani767,1
aopeioa,1
hassanostrowski,1
alextrnr,1
romeototo,0
chenyinzao,0
sunnyray86,1
bgmieaw,1
boristhecat,0
ian-bright,0
xuanxuan524,1
laeone,1
aulat,1
irisaciesaf,1
archieratican,1
dolphinring0,1
deborahconnerdb,1
hangjolie20,0
hydeisabadfriend,0
kai0581,1
blu3dot,1
dalawho,0
illuminaryeth,1
mctoarejl,1
goldwinner,0
ademmfiloglu,1
yubtu0,1
cygnus4,0
shuangming1219,1
oughtbq,1
liujqwb,0.04
xuezhengxudy,1
hdp940628,0
pkrisss,1
oliverachach,1
jmw577796,1
sparkingfloor,1
hthieu1991,0
erindemi007,1
zsfkgcr,1
enterstake,0
bandistaa,1
gulin13,1
anripirg,1
dieuhoatinh,1
ttimfu,1
paolofacchinetti,0
svetlana1greby,0
subik96,1
rqts11,1
sarahynch,1
tjcode404,1
twanacrippenxvs66,1
awesomedevelop,0
blursong3,1
shafqatkhan1,1
davidryan59,0
niko-c,0
yishanxin,0
detoxifies,1
smartdani89,1
loki396,1
richadg250,0
amnzt,1
vhoma,0
kurozawa22,1
arbtwotwo,1
yeshwanthreddyk,0
adamsosx,0
toripicklehead35,0
anggasingapore,1
jettieknuth,1
airdropavi,0
mihailo-maksa,0
lucky8971,1
frozenmeat31,1
wusuo66,1
visavis7945,0
dfvdsgdv,1
timvdm88,1
guidouluo54746,0
surtur001,1
situwebindia,0
renj113,1
guolili920716,1
mimb1244,1
huang051711song,1
richest89,1
jerome-chen,0
air205,1
lopatiialion,1
shiwushiwu,1
nikuz364,1
ryannadams44,1
partymaker1,1
yasruan,1
caspai,1
ahzamkhanx,1
lorin-cyber,1
0xtaobao,1
laoyi2512,1
deodivine,0
liu2593404165,1
zxiao0,0
bekirerdem,0
dry1010,0
kyoliving,1
tyrhtfht,1
dwatersme,1
kamils199,1
alescharm,1
lqmietfli,1
mrrattar,1
dostoo,1
villatrax,0.04
hildex,0
egor291,0
rzgybrvw,1
liyangtianmuhu,1
mukbeqt,1
hehe0612,1
bgamer01,1
cxzx1501338,1
molla202,1
08jaafwuvyb,1
yyw528,1
jrartspacenft,1
morlinoirina79,1
charlottec8133762,1
moliraskoiresa,1
kobylishuai,1
russemee,0
omgman222,1
maoseveltd,1
jega71,0
jsm10244j80ht,1
laohuahua,1
jelle888,1
urmil2217,0
erjiehua,1
huaikjggutu,1
zet1229,1
li166,1
0xngmi,0
infernab,1
thelmareal,0
bublik312,1
mapkot,0
dashalebed,1
kingleo233,1
sosomastad,0
hdvehrjmraz,1
joicqdze,1
tear88,1
oliviakellyvv,1
huytruong44,1
quyhongheo,1
broadmoon,1
randalchegwidden,1
ufkhan97,0
leihana23,1
hyt111213,0
amrskhader,1
rkay57,1
vienbui95,1
venusul,1
facrael,0
malinideari,1
idiophone,0
daydayup800,1
hultmaniqstephinedx,1
carmen1501,1
sushilin214,0
atsxx,1
tsaifu78,1
samemiz,1
grigoiy333541,1
masoudsarhadi2,1
akkoakkoakko,1
desireahelazaro,1
nadamareyoi,1
0xuser42,1
gmanarg,0
averybetsy,1
lenommon,1
killzhack,0
sq252924810,1
spidozlo,1
mozajkinael,1
brookem31639999,0.02
butterfly212,1
julietes,1
jinduoduo12,1
kagar11,1
judikorid,1
sky19910404,1
gilkakatb,1
bammy,0
ivandubr,0
zk-queen,1
antonio-sef,1
olexeyvidom,1
jacouiler,1
verygud-0,0
xiaoyu-cpu,1
inwxfree2,1
hamer92,1
wanqyu,1
kayanthamkwanjira468,1
tayfash,0
sakthivel0719,1
metelsky9009,0
hzmboss,1
jinhugb88,1
patpw,0.18
clementfrancesa,1
dmseries,1
liuhua3336,1
dronod,1
darleneboo,1
cryptogod710,1
hieuho999,1
009hua,1
louimartar,1
cispooo,1
ytdhntyhn,1
paulgoodness8800,1
ioexpsec,1
vincentgeorg,1
imansbz,1
guyick,1
avneshkumadi,1
aprilho7,1
shuozhi4588212799,0.04
eli401,1
vladsmart,1
lubosovo,0.08
ismailemin,0
rexwalke,1
raynalocascio2,1
bluesdavis,1
ghdbnsb,0
dvsdbvdfbdfb,1
peibo0318,0
afer9386,1
b89757,1
